index,dirty_word
1207,劉士賢
1208,劉奇葆
1209,劉山青
1210,劉文勝
1211,劉文雄
1212,劉曉波
1213,劉曉竹
1214,劉永川
1215,劉華清
1216,劉賓深
1217,劉賓雁
1218,劉青
1219,劌
1220,力月西
1221,办?〓
1222,办证
1223,功友
1224,功法
1225,加弹器
1226,劣等人
1227,劣等民族
1228,动乱
1229,助手威爾特
1230,劲片
1231,劲舞SF
1232,劲舞团SF
1233,劲舞团私服
1234,劲舞私服
1235,劳+教+所
1236,劳动保障部
1237,劳动教养所
1238,劳拉
1239,劳改
1240,劳教
1241,勃朗宁
1242,勃朗宁军刀
1243,勃朗宁微型
1244,勒索
1245,動乱
1246,動亂
1247,勞動教養所
1248,勞改
1249,勞教
1250,勱
1251,勾引
1252,包厢公主
1253,包夜
1254,包房公主
1255,包皮
1256,北京Unihub公司总裁（温家宝之子?***?=**
1257,北京之春
1258,北京富利公司董事长（彭真之女）
1259,北京异
1260,北京当局
1261,北京洋妞
1262,北京當局
1263,北大三角地
1264,北大三角地論壇
1265,北大三角地论坛
1266,北方先锋军刀
1267,北美自由論壇
1268,北美自由论坛
1269,北韓
1270,北韩
1271,医师资格证
1272,医用乙醚
1273,医考通
1274,十七大
1275,十临坛竹
1276,十九大
1277,十八大
1278,十八山羊对树
1279,十八摸
1280,十六大
1281,十年动乱石进
1282,十景缎
1283,千岛湖之旅
1284,升天
1285,升达
1286,升达毕业证
1287,午夜
1288,午夜激情
1289,华国锋
1290,华夏文摘
1291,华岳时事论坛
1292,华建敏
1293,华盛顿
1294,华语世界论坛
1295,华通时事
1296,华通时事论坛
1297,卓伯源
1298,卓望
1299,单双王
1300,单双王影视传媒
1301,单双管猎
1302,单双管猎/枪
1303,单发猎狗
1304,卖.国
1305,卖64手枪
1306,卖B
1307,卖ID
1308,卖QQ
1309,卖二手车
1310,卖党求荣
1311,卖卡
1312,卖号  
1313,卖国
1314,卖国求荣
1315,卖枪
1316,卖毒品
1317,卖比
1318,卖毕业证
1319,卖淫
1320,卖码
1321,卖肾
1322,卖财富
1323,卖软件
1324,卖逼
1325,卖钢珠枪
1326,卖骚
1327,南京630
1328,南京大学法学院
1329,南京大屠杀
1330,南华早报
1331,南大自由論壇
1332,南大自由论坛
1333,南方军刀网
1334,南海弹
1335,南蛮
1336,南蛮子
